year,lap_length,position,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,average_speed,session_encoded,weather_score,is_top_driver
2024,5.807,16,40,181.08965000000003,22.9,1012.9,0,1.7,184,52.0,15.4,0.03206699002400192,0,15.249999999999998,0
2024,5.807,17,10,169.51809090909094,22.9,1012.9,0,1.7,184,52.0,15.4,0.034255930849965595,0,15.249999999999998,0
2024,5.807,18,24,238.1723125,22.9,1012.9,0,1.7,184,52.0,15.4,0.024381507401285363,0,15.249999999999998,1
2024,5.807,19,20,198.5566842105263,22.9,1012.9,0,1.7,184,52.0,15.4,0.029246056475454314,0,15.249999999999998,1
2024,5.807,20,2,174.793,22.9,1012.9,0,1.7,184,52.0,15.4,0.03322215420525994,0,15.249999999999998,1
2024,5.807,1,1,302.60118181818183,25.0,1013.6,0,1.1,145,63.0,16.9,0.01919027534892161,5,11.65,0
2024,5.807,2,11,303.39336363636363,25.0,1013.6,0,1.1,145,63.0,16.9,0.019140168164522086,5,11.65,1
2024,5.807,3,4,268.86083333333335,25.0,1013.6,0,1.1,145,63.0,16.9,0.021598534557841262,5,11.65,0
2024,5.807,4,55,302.5674545454545,25.0,1013.6,0,1.1,145,63.0,16.9,0.019192414493897983,5,11.65,0
2024,5.807,5,14,301.42072727272733,25.0,1013.6,0,1.1,145,63.0,16.9,0.019265430259365644,5,11.65,0
2024,5.807,6,81,304.2817272727272,25.0,1013.6,0,1.1,145,63.0,16.9,0.01908428761742632,5,11.65,0
2024,5.807,7,44,241.31464285714284,25.0,1013.6,0,1.1,145,63.0,16.9,0.024064018375535203,5,11.65,0
2024,5.807,8,16,285.40981818181814,25.0,1013.6,0,1.1,145,63.0,16.9,0.020346181631007154,5,11.65,0
2024,5.807,9,63,241.78135714285716,25.0,1013.6,0,1.1,145,63.0,16.9,0.024017567229424223,5,11.65,0
2024,5.807,10,22,190.64264705882348,25.0,1013.6,0,1.1,145,63.0,16.9,0.030460130981124225,5,11.65,0
2024,5.807,11,3,188.3272727272728,25.0,1013.6,0,1.1,145,63.0,16.9,0.030834620583124146,5,11.65,1
2024,5.807,12,27,184.95154545454545,25.0,1013.6,0,1.1,145,63.0,16.9,0.03139741268843388,5,11.65,0
2024,5.807,13,77,186.9527272727273,25.0,1013.6,0,1.1,145,63.0,16.9,0.03106132809460826,5,11.65,1
2024,5.807,14,23,273.663125,25.0,1013.6,0,1.1,145,63.0,16.9,0.021219519436533513,5,11.65,1
2024,5.807,15,31,188.4030909090909,25.0,1013.6,0,1.1,145,63.0,16.9,0.030822211949813605,5,11.65,1
2024,5.807,16,18,153.5428,25.0,1013.6,0,1.1,145,63.0,16.9,0.03782007362116622,5,11.65,0
2024,5.807,17,10,144.1416,25.0,1013.6,0,1.1,145,63.0,16.9,0.040286773561553364,5,11.65,0
2024,5.807,18,20,135.7055,25.0,1013.6,0,1.1,145,63.0,16.9,0.042791191219221036,5,11.65,1
2024,5.807,19,2,137.19559999999998,25.0,1013.6,0,1.1,145,63.0,16.9,0.042326430293682896,5,11.65,1
2024,5.807,20,24,150.2816,25.0,1013.6,0,1.1,145,63.0,16.9,0.0386407916870728,5,11.65,1
2024,5.807,1,1,129.47751923076922,31.8,1012.9,0,2.7,181,56.0,19.5,0.04484948456303152,6,14.549999999999999,0
